EmployeeID;FirstName;LastName;Email
1;"Ivan";"Kovalenko";"ivan.kovalenko@company.ua"
2;"Olga";"Shevchenko";"olga.shevchenko@company.ua"
3;"Petro";"Bondarenko";"petro.bondarenko@company.ua"
4;"Anna";"Tkachenko";"anna.tkachenko@company.ua"
5;"Mykola";"Marchenko";"mykola.marchenko@company.ua"
6;"Natalia";"Kravchenko";"natalia.kravchenko@company.ua"
7;"Viktor";"Moroz";"viktor.moroz@company.ua"
8;"Iryna";"Pavlenko";"iryna.pavlenko@company.ua"
9;"Sergiy";"Lytvyn";"sergiy.lytvyn@company.ua"
10;"Tetiana";"Melnyk";"tetiana.melnyk@company.ua"
11;"Andriy";"Kravets";"andriy.kravets@company.ua"
12;"Yulia";"Savchenko";"yulia.savchenko@company.ua"
